inning,score,removal_prob
1,0.0,0.0
1,2.0,0.0015
1,4.0,0.0015
1,6.0,0.0015
1,8.0,0.0015
1,10.0,0.0015
1,12.0,0.0015
1,14.0,0.0015
1,16.0,0.0015
1,18.0,0.0015
1,20.0,0.0015
1,22.0,0.0015
1,24.0,0.0015
1,26.0,0.0041
1,28.0,0.0041
1,30.0,0.0041
1,32.0,0.0041
1,34.0,0.0041
1,36.0,0.0041
1,38.0,0.0079
1,40.0,0.0079
1,42.0,0.0079
1,44.0,0.0218
1,46.0,0.0218
1,48.0,0.0218
1,50.0,0.0218
1,52.0,0.0218
1,54.0,0.0218
1,56.0,0.0218
1,58.0,0.0218
1,60.0,0.0218
1,62.0,0.0218
1,64.0,0.0218
1,66.0,0.0218
1,68.0,0.0218
1,70.0,0.0218
1,72.0,0.0218
1,74.0,0.0218
1,76.0,0.0218
1,78.0,0.0218
1,80.0,0.0218
1,82.0,0.0218
1,84.0,0.0218
1,86.0,0.0218
1,88.0,0.0218
1,90.0,0.0218
1,92.0,0.0218
1,94.0,0.0218
1,96.0,0.0218
1,98.0,0.0218
1,100.0,0.0218
2,0.0,0.0167
2,2.0,0.0167
2,4.0,0.0167
2,6.0,0.0167
2,8.0,0.0167
2,10.0,0.0176
2,12.0,0.0176
2,14.0,0.0176
2,16.0,0.022
2,18.0,0.022
2,20.0,0.022
2,22.0,0.022
2,24.0,0.022
2,26.0,0.022
2,28.0,0.022
2,30.0,0.022
2,32.0,0.022
2,34.0,0.022
2,36.0,0.022
2,38.0,0.0283
2,40.0,0.0283
2,42.0,0.0283
2,44.0,0.0283
2,46.0,0.0283
2,48.0,0.0283
2,50.0,0.0283
2,52.0,0.0283
2,54.0,0.0283
2,56.0,0.0288
2,58.0,0.0288
2,60.0,0.0288
2,62.0,0.0288
2,64.0,0.0288
2,66.0,0.0288
2,68.0,0.0288
2,70.0,0.0288
2,72.0,0.0288
2,74.0,0.0288
2,76.0,0.0288
2,78.0,0.0288
2,80.0,0.0833
2,82.0,0.0833
2,84.0,0.0833
2,86.0,0.0833
2,88.0,0.0833
2,90.0,0.0833
2,92.0,0.0833
2,94.0,0.0833
2,96.0,0.0833
2,98.0,0.0846
2,100.0,0.1286
3,0.0,0.0203
3,2.0,0.0203
3,4.0,0.0203
3,6.0,0.0203
3,8.0,0.0203
3,10.0,0.0203
3,12.0,0.0484
3,14.0,0.0484
3,16.0,0.0484
3,18.0,0.0484
3,20.0,0.0484
3,22.0,0.0484
3,24.0,0.0484
3,26.0,0.0484
3,28.0,0.0484
3,30.0,0.0484
3,32.0,0.0484
3,34.0,0.0484
3,36.0,0.0484
3,38.0,0.0484
3,40.0,0.0484
3,42.0,0.0484
3,44.0,0.0484
3,46.0,0.0484
3,48.0,0.0484
3,50.0,0.0484
3,52.0,0.05
3,54.0,0.05
3,56.0,0.05
3,58.0,0.05
3,60.0,0.075
3,62.0,0.075
3,64.0,0.075
3,66.0,0.075
3,68.0,0.075
3,70.0,0.0757
3,72.0,0.0779
3,74.0,0.0779
3,76.0,0.0779
3,78.0,0.0779
3,80.0,0.0779
3,82.0,0.0779
3,84.0,0.0779
3,86.0,0.0779
3,88.0,0.0779
3,90.0,0.0779
3,92.0,0.0779
3,94.0,0.0779
3,96.0,0.0779
3,98.0,0.0779
3,100.0,0.0779
4,0.0,0.0721
4,2.0,0.0721
4,4.0,0.0721
4,6.0,0.0721
4,8.0,0.0721
4,10.0,0.0769
4,12.0,0.0921
4,14.0,0.0921
4,16.0,0.0921
4,18.0,0.0921
4,20.0,0.0973
4,22.0,0.0973
4,24.0,0.0973
4,26.0,0.1449
4,28.0,0.1449
4,30.0,0.1449
4,32.0,0.1449
4,34.0,0.1449
4,36.0,0.1449
4,38.0,0.1449
4,40.0,0.1449
4,42.0,0.1449
4,44.0,0.1449
4,46.0,0.1449
4,48.0,0.1449
4,50.0,0.1449
4,52.0,0.1449
4,54.0,0.1449
4,56.0,0.1449
4,58.0,0.1449
4,60.0,0.1449
4,62.0,0.1449
4,64.0,0.1449
4,66.0,0.1667
4,68.0,0.1667
4,70.0,0.1667
4,72.0,0.2292
4,74.0,0.2292
4,76.0,0.2292
4,78.0,0.2292
4,80.0,0.2292
4,82.0,0.2292
4,84.0,0.2292
4,86.0,0.2292
4,88.0,0.2292
4,90.0,0.2292
4,92.0,0.2292
4,94.0,0.2292
4,96.0,0.2292
4,98.0,0.2292
4,100.0,0.2292
5,0.0,0.1654
5,2.0,0.1654
5,4.0,0.1654
5,6.0,0.2857
5,8.0,0.3098
5,10.0,0.3098
5,12.0,0.3098
5,14.0,0.3098
5,16.0,0.3098
5,18.0,0.3098
5,20.0,0.3098
5,22.0,0.3098
5,24.0,0.3098
5,26.0,0.3222
5,28.0,0.3222
5,30.0,0.3222
5,32.0,0.3222
5,34.0,0.3222
5,36.0,0.3684
5,38.0,0.3684
5,40.0,0.4141
5,42.0,0.4231
5,44.0,0.4231
5,46.0,0.4384
5,48.0,0.4384
5,50.0,0.4384
5,52.0,0.4384
5,54.0,0.4384
5,56.0,0.4384
5,58.0,0.4384
5,60.0,0.4384
5,62.0,0.4384
5,64.0,0.4384
5,66.0,0.4384
5,68.0,0.4384
5,70.0,0.5138
5,72.0,0.5556
5,74.0,0.5556
5,76.0,0.5556
5,78.0,0.5556
5,80.0,0.5556
5,82.0,0.5556
5,84.0,0.5556
5,86.0,0.5556
5,88.0,0.5556
5,90.0,0.5556
5,92.0,0.5556
5,94.0,0.5556
5,96.0,0.6
5,98.0,0.6
5,100.0,0.6
6,0.0,0.1538
6,2.0,0.3731
6,4.0,0.4839
6,6.0,0.4965
6,8.0,0.4965
6,10.0,0.4965
6,12.0,0.4965
6,14.0,0.5192
6,16.0,0.5238
6,18.0,0.56
6,20.0,0.6296
6,22.0,0.6389
6,24.0,0.6389
6,26.0,0.6414
6,28.0,0.6414
6,30.0,0.6414
6,32.0,0.6414
6,34.0,0.6414
6,36.0,0.6414
6,38.0,0.6414
6,40.0,0.6414
6,42.0,0.6414
6,44.0,0.6414
6,46.0,0.6414
6,48.0,0.6414
6,50.0,0.6414
6,52.0,0.6414
6,54.0,0.6414
6,56.0,0.6414
6,58.0,0.6414
6,60.0,0.6414
6,62.0,0.6414
6,64.0,0.6414
6,66.0,0.6414
6,68.0,0.75
6,70.0,0.75
6,72.0,0.75
6,74.0,0.75
6,76.0,0.75
6,78.0,0.75
6,80.0,0.75
6,82.0,0.75
6,84.0,0.75
6,86.0,0.75
6,88.0,0.75
6,90.0,0.75
6,92.0,0.75
6,94.0,0.75
6,96.0,0.75
6,98.0,0.75
6,100.0,0.75
7,0.0,0.7434
7,2.0,0.7434
7,4.0,0.7434
7,6.0,0.7434
7,8.0,0.7434
7,10.0,0.8636
7,12.0,0.8636
7,14.0,0.8636
7,16.0,0.8636
7,18.0,0.8636
7,20.0,0.8636
7,22.0,0.8636
7,24.0,0.8636
7,26.0,0.875
7,28.0,0.881
7,30.0,0.881
7,32.0,0.881
7,34.0,0.881
7,36.0,0.881
7,38.0,0.881
7,40.0,0.881
7,42.0,0.881
7,44.0,0.881
7,46.0,0.881
7,48.0,0.881
7,50.0,0.881
7,52.0,0.881
7,54.0,0.896
