year,game_sno,date,opponent,home_away,final_visiting,final_home,lin_li_played,lin_li_role,team_win,team_r,team_pa,team_ab,team_h,team_1b,team_2b,team_3b,team_hr,team_bb,team_ibb,team_hbp,team_sf,team_sac,team_so,team_gidp,team_sb,team_cs
2020,1,2020-04-11,中信兄弟,home,3,4,True,先發,True,4,33,28,7,3,3,0,1,5,0,0,0,0,4,1,0,1
2020,2,2020-04-12,富邦悍將,home,3,14,True,先發,True,14,47,43,19,11,4,0,4,1,0,3,0,0,7,0,2,0
2020,6,2020-04-15,統一7-ELEVEn獅,home,7,6,True,先發,False,9,52,49,16,7,3,0,6,3,1,0,0,0,8,1,1,0
2020,7,2020-04-16,統一7-ELEVEn獅,home,3,15,True,先發,True,15,44,36,14,7,4,0,3,8,0,0,0,0,5,2,3,0
2020,9,2020-04-17,富邦悍將,home,1,6,True,先發,True,11,40,38,14,9,1,0,4,2,1,0,0,0,7,0,0,0
2020,11,2020-04-18,富邦悍將,home,2,6,True,先發,True,12,44,37,16,11,4,0,1,5,0,0,1,1,8,0,1,0
2020,13,2020-04-19,富邦悍將,home,7,4,True,先發,False,3,33,31,7,3,4,0,0,0,0,1,0,1,5,0,0,1
2020,16,2020-04-22,中信兄弟,away,9,5,True,先發,True,3,43,41,13,13,0,0,0,2,0,0,0,0,12,1,1,1
2020,17,2020-04-23,中信兄弟,away,6,5,True,先發,True,6,42,38,10,6,3,0,1,4,0,0,0,0,8,0,0,0
2020,19,2020-04-24,統一7-ELEVEn獅,away,11,0,True,先發,True,14,47,45,17,10,2,2,3,2,0,0,0,0,7,0,0,0
2020,21,2020-04-25,統一7-ELEVEn獅,away,6,5,True,先發,True,7,45,39,14,11,1,0,2,5,0,0,1,0,9,1,0,0
2020,23,2020-04-26,統一7-ELEVEn獅,away,4,5,True,先發,False,5,36,35,12,9,2,0,1,0,0,0,1,0,4,2,0,0
2020,24,2020-04-28,富邦悍將,away,3,0,True,先發,True,3,40,38,12,10,1,0,1,0,0,2,0,0,7,1,2,0
2020,25,2020-04-29,富邦悍將,away,5,3,True,先發,True,5,38,35,10,9,1,0,0,1,0,0,2,0,7,1,2,1
2020,28,2020-05-01,中信兄弟,home,10,8,True,先發,False,8,53,48,13,10,2,1,0,1,0,1,2,1,11,0,2,0
2020,30,2020-05-02,中信兄弟,home,11,16,True,先發,True,16,49,44,21,12,8,0,1,3,0,2,0,0,5,1,2,1
2020,32,2020-05-03,中信兄弟,home,3,9,True,先發,True,9,38,34,15,10,2,0,3,3,0,0,1,0,7,1,1,1
2020,36,2020-05-07,富邦悍將,home,6,15,True,先發,True,15,47,41,22,20,1,1,0,2,0,0,2,2,4,2,1,0
2020,37,2020-05-08,中信兄弟,away,4,6,True,先發,False,4,40,34,10,5,3,1,1,5,0,0,1,0,8,0,1,0
2020,39,2020-05-09,中信兄弟,away,6,3,True,非先發,True,6,44,30,8,8,0,0,0,7,1,3,0,4,7,2,1,0
2020,41,2020-05-10,中信兄弟,away,5,4,False,,True,5,38,31,5,2,1,0,2,4,0,1,1,1,9,0,1,0
2020,43,2020-05-12,統一7-ELEVEn獅,away,17,10,True,先發,True,17,52,40,18,12,4,0,2,8,0,0,4,0,4,0,1,2
